# Training started at 20251028_045433
# Target episodes: 100000
# Device: cuda
# Format: episode, avg_score, max_score, epsilon, memory_size, time_last_100, time_total, time_remaining
# episode,avg_score,max_score,epsilon,memory_size,time_last_100,time_total,time_remaining
18900,3.32,11,0.0500,100000,5.09,1226.51,5262.60
19000,3.30,13,0.0500,100000,9.73,1236.23,5269.92
19100,3.16,13,0.0500,100000,5.41,1241.64,5258.76
19200,3.17,12,0.0500,100000,4.47,1246.11,5243.72
19300,2.63,9,0.0500,100000,5.29,1251.40,5232.22
19400,3.59,14,0.0500,100000,5.24,1256.64,5220.56
19500,3.33,13,0.0500,100000,6.43,1263.07,5213.89
19600,2.57,10,0.0500,100000,5.36,1268.43,5202.81
19700,2.85,11,0.0500,100000,6.03,1274.46,5194.55
19800,2.77,15,0.0500,100000,8.42,1282.88,5195.98
19900,2.94,9,0.0500,100000,4.64,1287.52,5182.11
20000,3.12,14,0.0500,100000,5.53,1293.05,5171.88
20100,3.09,11,0.0500,100000,4.70,1297.75,5158.40
20200,2.85,10,0.0500,100000,4.89,1302.65,5145.78
20300,3.40,12,0.0500,100000,5.44,1308.08,5135.36
20400,2.11,7,0.0500,100000,6.69,1314.77,5129.87
20500,2.63,12,0.0500,100000,7.54,1322.32,5127.69
20600,3.10,12,0.0500,100000,5.50,1327.82,5117.60
20700,3.40,14,0.0500,100000,5.07,1332.89,5105.86
20800,2.88,11,0.0500,100000,5.61,1338.49,5096.27
20900,3.15,10,0.0500,100000,4.75,1343.24,5083.44
21000,3.49,13,0.0500,100000,5.66,1348.90,5074.14
21100,2.62,11,0.0500,100000,4.89,1353.79,5061.98
21200,3.10,13,0.0500,100000,4.72,1358.51,5049.27
21300,2.92,11,0.0500,100000,5.33,1363.85,5038.89
21400,2.68,13,0.0500,100000,6.19,1370.03,5031.70
21500,2.98,10,0.0500,100000,6.02,1376.05,5023.89
21600,3.07,10,0.0500,100000,6.41,1382.46,5017.52
21700,2.56,9,0.0500,100000,7.15,1389.61,5013.82
21800,2.69,14,0.0500,100000,6.68,1396.28,5008.40
21900,2.58,11,0.0500,100000,7.48,1403.77,5005.84
22000,2.60,11,0.0500,100000,4.80,1408.57,4993.71
22100,3.46,11,0.0500,100000,5.26,1413.83,4983.29
22200,3.00,9,0.0500,100000,5.05,1418.88,4972.18
22300,3.18,12,0.0500,100000,5.70,1424.58,4963.39
22400,2.97,10,0.0500,100000,5.93,1430.51,4955.40
22500,3.21,12,0.0500,100000,5.00,1435.50,4944.23
22600,3.12,12,0.0500,100000,4.90,1440.41,4932.79
22700,3.53,12,0.0500,100000,6.05,1446.46,4925.32
22800,3.66,12,0.0500,100000,6.06,1452.52,4917.89
22900,2.81,12,0.0500,100000,5.35,1457.86,4908.07
23000,3.05,11,0.0500,100000,5.17,1463.03,4897.69
23100,2.65,8,0.0500,100000,5.70,1468.73,4889.15
23200,2.79,11,0.0500,100000,5.42,1474.16,4879.70
23300,3.05,12,0.0500,100000,4.85,1479.01,4868.38
23400,2.19,8,0.0500,100000,4.74,1483.74,4856.76
23500,3.17,12,0.0500,100000,6.14,1489.88,4849.77
23600,2.89,13,0.0500,100000,4.62,1494.50,4837.87
23700,2.53,12,0.0500,100000,4.50,1499.00,4825.63
23800,2.78,12,0.0500,100000,4.83,1503.83,4814.52
23900,3.16,9,0.0500,100000,4.62,1508.45,4802.80
24000,3.08,10,0.0500,100000,4.00,1512.45,4789.15
24100,2.91,10,0.0500,100000,4.22,1516.67,4776.30
24200,3.29,12,0.0500,100000,4.74,1521.41,4765.14
24300,3.38,9,0.0500,100000,4.45,1525.86,4753.14
24400,2.85,8,0.0500,100000,4.62,1530.48,4741.73
24500,3.34,13,0.0500,100000,6.25,1536.73,4735.39
24600,3.19,12,0.0500,100000,5.11,1541.84,4725.55
24700,3.78,11,0.0500,100000,4.86,1546.70,4715.00
24800,3.41,12,0.0500,100000,4.51,1551.21,4703.42
24900,3.33,12,0.0500,100000,5.08,1556.29,4693.63
25000,3.50,10,0.0500,100000,7.93,1564.22,4692.41
25100,2.95,10,0.0500,100000,6.40,1570.62,4686.57
25200,3.42,10,0.0500,100000,4.70,1575.31,4675.69
25300,3.94,16,0.0500,100000,4.92,1580.24,4665.52
25400,3.63,14,0.0500,100000,5.69,1585.93,4657.64
25500,3.16,12,0.0500,100000,4.18,1590.11,4645.37
25600,2.65,11,0.0500,100000,4.95,1595.06,4635.41
25700,3.36,10,0.0500,100000,4.44,1599.50,4623.99
25800,3.29,12,0.0500,100000,5.02,1604.52,4614.30
25900,3.21,10,0.0500,100000,4.78,1609.30,4603.96
26000,3.05,11,0.0500,100000,4.95,1614.25,4594.16
26100,3.66,15,0.0500,100000,4.79,1619.04,4583.94
26200,3.66,9,0.0500,100000,4.41,1623.45,4572.69
26300,3.83,15,0.0500,100000,5.37,1628.82,4564.19
26400,3.41,12,0.0500,100000,4.19,1633.01,4552.40
26500,3.45,11,0.0500,100000,4.06,1637.07,4540.32
26600,3.44,15,0.0500,100000,4.18,1641.25,4528.64
26700,3.67,12,0.0500,100000,4.92,1646.17,4519.04
26800,3.28,11,0.0500,100000,4.33,1650.50,4507.86
26900,2.98,11,0.0500,100000,4.61,1655.11,4497.49
27000,3.54,13,0.0500,100000,5.24,1660.35,4488.86
27100,2.95,11,0.0500,100000,5.41,1665.76,4480.72
27200,2.76,12,0.0500,100000,5.09,1670.84,4471.74
27300,2.75,8,0.0500,100000,4.90,1675.75,4462.29
27400,3.53,11,0.0500,100000,4.06,1679.81,4450.65
27500,2.79,11,0.0500,100000,4.49,1684.30,4440.20
27600,3.32,9,0.0500,100000,4.54,1688.84,4429.92
27700,3.36,11,0.0500,100000,4.35,1693.19,4419.20
27800,3.20,11,0.0500,100000,4.36,1697.55,4408.52
27900,3.64,15,0.0500,100000,5.15,1702.70,4399.95
28000,3.60,15,0.0500,100000,4.68,1707.38,4390.19
28100,3.72,14,0.0500,100000,4.84,1712.22,4380.88
28200,3.36,10,0.0500,100000,5.25,1717.47,4372.64
28300,3.48,15,0.0500,100000,4.05,1721.52,4361.37
28400,3.14,16,0.0500,100000,6.94,1728.46,4357.45
28500,2.96,9,0.0500,100000,7.47,1735.93,4354.84
28600,2.94,12,0.0500,100000,4.24,1740.17,4344.14
28700,3.53,12,0.0500,100000,4.42,1744.59,4333.91
28800,3.46,11,0.0500,100000,4.45,1749.04,4323.80
28900,3.26,10,0.0500,100000,4.09,1753.12,4312.84
29000,3.94,13,0.0500,100000,4.41,1757.54,4302.73
29100,3.33,14,0.0500,100000,5.12,1762.66,4294.37
29200,2.67,14,0.0500,100000,4.29,1766.95,4284.04
29300,4.36,13,0.0500,100000,5.21,1772.16,4275.95
29400,3.68,13,0.0500,100000,4.23,1776.39,4265.54
29500,3.77,14,0.0500,100000,4.13,1780.52,4254.94
29600,3.79,15,0.0500,100000,4.25,1784.78,4244.67
29700,3.33,12,0.0500,100000,4.55,1789.32,4235.13
29800,3.45,13,0.0500,100000,4.57,1793.89,4225.68
29900,3.61,13,0.0500,100000,4.52,1798.41,4216.15
30000,3.36,10,0.0500,100000,5.10,1803.51,4207.99
30100,4.24,15,0.0500,100000,4.78,1808.29,4199.12
30200,3.82,14,0.0500,100000,4.45,1812.74,4189.51
30300,3.71,13,0.0500,100000,4.56,1817.30,4180.19
30400,3.09,12,0.0500,100000,4.61,1821.91,4171.02
30500,3.57,12,0.0500,100000,4.81,1826.72,4162.33
30600,3.52,9,0.0500,100000,4.19,1830.91,4152.27
30700,3.59,16,0.0500,100000,4.71,1835.63,4143.42
30800,3.49,11,0.0500,100000,4.80,1840.43,4134.79
30900,2.71,14,0.0500,100000,5.71,1846.14,4128.23
31000,3.76,12,0.0500,100000,4.21,1850.35,4118.32
31100,3.91,16,0.0500,100000,4.25,1854.60,4108.55
31200,3.30,21,0.0500,100000,5.48,1860.08,4101.51
31300,3.33,13,0.0500,100000,3.90,1863.98,4091.04
31400,3.59,12,0.0500,100000,4.57,1868.55,4082.06
31500,3.16,13,0.0500,100000,4.12,1872.67,4072.13
31600,3.23,15,0.0500,100000,4.16,1876.83,4062.33
31700,3.38,10,0.0500,100000,4.31,1881.14,4052.87
31800,3.30,14,0.0500,100000,3.92,1885.06,4042.61
31900,4.47,13,0.0500,100000,4.96,1890.01,4034.61
32000,2.99,10,0.0500,100000,4.44,1894.45,4025.52
32100,3.74,12,0.0500,100000,4.55,1899.00,4016.71
32200,3.58,12,0.0500,100000,4.25,1903.26,4007.30
32300,4.32,18,0.0500,100000,4.71,1907.97,3998.88
32400,4.07,15,0.0500,100000,4.33,1912.30,3989.69
32500,3.73,13,0.0500,100000,4.28,1916.59,3980.42
32600,3.44,15,0.0500,100000,3.81,1920.40,3970.21
32700,3.73,15,0.0500,100000,4.43,1924.83,3961.31
32800,3.84,15,0.0500,100000,4.41,1929.24,3952.40
32900,3.80,12,0.0500,100000,4.37,1933.61,3943.44
33000,3.99,15,0.0500,100000,4.42,1938.03,3934.61
33100,4.03,15,0.0500,100000,4.39,1942.42,3925.75
33200,4.70,19,0.0500,100000,4.99,1947.42,3918.12
33300,3.76,14,0.0500,100000,4.52,1951.94,3909.56
33400,3.95,14,0.0500,100000,4.46,1956.40,3900.91
33500,3.48,18,0.0500,100000,4.16,1960.56,3891.68
33600,3.55,13,0.0500,100000,4.43,1964.99,3883.01
33700,4.04,12,0.0500,100000,4.34,1969.33,3874.20
33800,3.89,14,0.0500,100000,4.81,1974.13,3866.33
33900,4.14,13,0.0500,100000,4.85,1978.98,3858.55
34000,4.50,12,0.0500,100000,4.66,1983.65,3850.44
34100,4.53,16,0.0500,100000,4.82,1988.47,3842.65
34200,3.49,13,0.0500,100000,4.16,1992.63,3833.60
34300,4.14,14,0.0500,100000,4.33,1996.96,3824.91
34400,3.80,14,0.0500,100000,5.63,2002.59,3818.71
34500,4.02,13,0.0500,100000,4.40,2006.98,3810.19
34600,4.62,17,0.0500,100000,4.33,2011.31,3801.56
34700,3.82,13,0.0500,100000,4.30,2015.62,3792.91
34800,3.52,11,0.0500,100000,3.72,2019.34,3783.19
34900,4.18,15,0.0500,100000,4.59,2023.93,3775.13
35000,3.98,14,0.0500,100000,4.36,2028.29,3766.67
35100,4.23,15,0.0500,100000,4.56,2032.86,3758.59
35200,4.12,18,0.0500,100000,4.76,2037.62,3750.91
35300,3.95,13,0.0500,100000,4.32,2041.94,3742.43
35400,4.21,15,0.0500,100000,4.73,2046.67,3734.72
35500,3.92,13,0.0500,100000,4.23,2050.89,3726.11
35600,3.91,13,0.0500,100000,4.16,2055.05,3717.40
35700,4.11,14,0.0500,100000,4.27,2059.32,3708.92
35800,4.62,13,0.0500,100000,4.69,2064.01,3701.22
35900,4.06,13,0.0500,100000,4.57,2068.58,3693.33
36000,4.26,15,0.0500,100000,4.87,2073.45,3685.98
36100,3.87,11,0.0500,100000,4.10,2077.55,3677.27
36200,3.81,18,0.0500,100000,4.26,2081.81,3668.88
36300,4.67,16,0.0500,100000,4.63,2086.44,3661.17
36400,4.32,16,0.0500,100000,4.14,2090.58,3652.61
36500,4.46,17,0.0500,100000,4.50,2095.08,3644.71
36600,4.34,14,0.0500,100000,4.80,2099.88,3637.35
36700,4.08,12,0.0500,100000,4.14,2104.02,3628.85
36800,4.52,15,0.0500,100000,4.34,2108.36,3620.72
36900,4.22,14,0.0500,100000,4.46,2112.82,3612.83
37000,3.99,12,0.0500,100000,3.98,2116.80,3604.13
37100,4.45,13,0.0500,100000,4.42,2121.22,3596.21
37200,4.46,15,0.0500,100000,4.76,2125.98,3588.87
37300,3.98,12,0.0500,100000,4.04,2130.02,3580.34
37400,4.19,12,0.0500,100000,4.74,2134.76,3573.00
37500,4.18,14,0.0500,100000,4.38,2139.14,3565.08
37600,4.19,15,0.0500,100000,4.13,2143.27,3556.76
37700,4.54,19,0.0500,100000,4.57,2147.83,3549.18
37800,4.78,16,0.0500,100000,5.06,2152.89,3542.43
37900,3.84,15,0.0500,100000,3.92,2156.81,3533.83
38000,4.32,18,0.0500,100000,4.25,2161.06,3525.80
38100,3.85,13,0.0500,100000,3.87,2164.93,3517.16
38200,4.41,15,0.0500,100000,4.29,2169.22,3509.22
38300,4.03,15,0.0500,100000,4.23,2173.46,3501.22
38400,4.08,12,0.0500,100000,4.06,2177.51,3492.95
38500,4.00,17,0.0500,100000,4.04,2181.56,3484.68
38600,4.07,19,0.0500,100000,4.34,2185.89,3476.90
38700,4.28,13,0.0500,100000,4.71,2190.60,3469.72
38800,4.41,17,0.0500,100000,4.30,2194.90,3461.92
38900,4.10,13,0.0500,100000,4.48,2199.38,3454.41
39000,3.96,12,0.0500,100000,3.87,2203.25,3445.97
39100,4.51,17,0.0500,100000,4.51,2207.76,3438.54
39200,4.65,13,0.0500,100000,4.65,2212.41,3431.35
39300,4.11,13,0.0500,100000,4.19,2216.60,3423.46
39400,4.59,18,0.0500,100000,4.43,2221.03,3415.96
39500,4.98,15,0.0500,100000,4.85,2225.89,3409.13
39600,4.26,15,0.0500,100000,4.22,2230.10,3401.33
39700,5.26,20,0.0500,100000,5.01,2235.12,3394.76
39800,4.24,15,0.0500,100000,4.02,2239.14,3386.69
39900,4.61,18,0.0500,100000,4.68,2243.82,3379.65
40000,4.13,11,0.0500,100000,4.23,2248.05,3371.94
40100,4.62,18,0.0500,100000,4.43,2252.48,3364.54
40200,5.04,18,0.0500,100000,4.69,2257.17,3357.54
40300,3.71,14,0.0500,100000,3.92,2261.09,3349.42
40400,4.30,15,0.0500,100000,4.09,2265.18,3341.56
40500,4.15,14,0.0500,100000,4.09,2269.27,3333.73
